freq,prev,p.freq,p.prev,p,contaminant
4.871671077267327e-6,3,NA,0.7330269311401387,0.7330269311401387,FALSE
5.6834667529556645e-6,4,NA,0.7853745917008959,0.7853745917008959,FALSE
4.69011982442003e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
2.1989981214785918e-4,20,NA,0.9972602542375464,0.9972602542375464,FALSE
9.06393153468676e-7,1,NA,NA,NA,FALSE
1.8861571087365727e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
4.187737629995125e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
1.0240582263115988e-5,5,NA,0.8282996733607166,0.8282996733607166,FALSE
1.1721942337940581e-5,4,NA,0.7853745917008959,0.7853745917008959,FALSE
9.06393153468676e-7,1,NA,NA,NA,FALSE
2.9864773858012078e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
1.4935904533665275e-5,7,NA,0.8918112737757578,0.8918112737757578,FALSE
2.925504344688051e-5,5,NA,0.8282996733607166,0.8282996733607166,FALSE
1.1128613114725379e-5,2,NA,0.6694619147449337,0.6694619147449337,FALSE
